iso3c	year	voter_turnout	vap_turnout	lne_turnout	lne_type	lne_type2	lne_parl	lne_fo	concurrent	concurrent_parl	concurrent_else	tt_next	ne_days0	ne_count	ne_count2	ne_months	first_ep	cv
PRT	1989	51.0955279057088	57.76	71.57477781190688	NA	NA	0	0	0	0	0	6.066666666666666	700	5	4	23.333333333333332	0	0
PRT	1994	35.53658948318095	39.79	67.77580997823657	subnational	subnational	0	0	0	0	0	15.866666666666667	182	4	4	6.066666666666666	0	0
PRT	1999	39.93484571383025	44.22	66.29745016284538	referendum	referendum	0	0	0	0	0	3.966666666666667	217	5	5	7.233333333333333	0	0
PRT	2004	38.596599019481594	40.59	61.48299962045277	parliament	parliament	1	1	0	0	0	8.4	819	4	4	27.3	0	0
PRT	2009	36.77594211133139	41.55	64.26104152402793	referendum	referendum	0	0	0	0	0	3.7333333333333334	847	4	4	28.233333333333334	0	0
PRT	2014	33.67436408912103	37.56	58.03042988651498	subnational	subnational	0	0	0	0	0	16.566666666666666	238	5	5	7.933333333333334	0	0
PRT	2019	30.728796058686548	38.6	55.840325817802146	subnational	subnational	0	0	0	0	0	4.433333333333334	602	3	3	20.066666666666666	0	0
ROU	2007	29.466610427654448	26.91	58.50968468038755	referendum	referendum	0	0	1	0	1	6.3	0	6	4	6.333333333333333	1	0
ROU	2009	27.670558669201547	28.09	39.20474208734121	parliament	parliament	1	1	0	0	0	5.6	189	8	5	6.3	0	0
ROU	2014	32.44483951840126	33.5	41.76384104578467	parliament	parliament	1	1	0	0	0	5.366666666666666	532	5	4	17.733333333333334	0	0
ROU	2019	51.198012443686125	52.8	39.457059386479756	referendum	referendum	0	0	1	0	1	5.6	0	5	4	7.7	0	0
SVK	2004	16.94131975509582	17.45	69.98885468812608	president	president	0	0	0	0	0	17.7	57	7	6	1.9	1	0
SVK	2009	19.617154416487008	19.51	54.67308848624827	president	president	0	0	0	0	0	5.366666666666666	63	5	4	2.1	0	0
SVK	2014	13.058007676184008	13.14	59.111484681331675	president	president	0	0	0	0	0	5.833333333333333	56	8	7	1.8666666666666667	0	0
SVK	2019	22.741382739314925	22.57	59.8221724240754	president	president	0	0	0	0	0	9.333333333333334	56	7	6	1.8666666666666667	0	0
SVN	2004	28.350536982217644	31.87	70.09155645981689	referendum	referendum	0	0	0	0	0	3.7333333333333334	70	5	4	2.3333333333333335	1	0
SVN	2009	28.360440181084922	28.83	63.10420015597396	parliament	parliament	1	1	0	0	0	12.133333333333333	259	6	5	8.633333333333333	0	0
SVN	2014	24.52929995277218	25.64	65.60088015853148	president	president	0	0	0	0	0	1.6333333333333333	539	8	6	17.966666666666665	0	0
SVN	2019	28.890004828131993	28.38	52.63424021823159	subnational	subnational	0	0	0	0	0	25.9	175	8	5	5.833333333333333	0	0
SWE	1995	41.627108720514315	40.44	86.82710602636651	referendum	referendum	0	0	0	0	0	36.63333333333333	308	3	3	10.266666666666667	1	0
SWE	1999	38.84205242785899	38.05	81.39456309273982	subnational	subnational	0	0	0	0	0	38.63333333333333	266	4	4	8.866666666666667	0	0
SWE	2004	37.85168727582687	37.27	80.11454051322468	referendum	referendum	0	0	0	0	0	27.533333333333335	273	3	3	9.1	0	0
SWE	2009	45.533620670561064	46.76	81.98503513271675	subnational	subnational	0	0	0	0	0	15.633333333333333	994	1	1	33.13333333333333	0	0
SWE	2014	51.072967496299576	49.37	84.62910381207614	subnational	subnational	0	0	0	0	0	3.7333333333333334	1344	1	1	44.8	0	0
SWE	2019	55.27113468446335	52.29	87.18418887247704	subnational	subnational	0	0	0	0	0	40.13333333333333	259	2	2	8.633333333333333	0	0
